component_name;replacement_name;comment;source_url
@babel/plugin-proposal-json-strings;babel;;https://github.com/babel/babel
@babel/plugin-proposal-logical-assignment-operators;babel;;https://github.com/babel/babel
@babel/plugin-proposal-nullish-coalescing-operator;babel;;https://github.com/babel/babel
@babel/plugin-proposal-numeric-separator;babel;;https://github.com/babel/babel
@babel/plugin-proposal-object-rest-spread;babel;;https://github.com/babel/babel
@babel/plugin-proposal-optional-catch-binding;babel;;https://github.com/babel/babel
@babel/plugin-proposal-optional-chaining;babel;;https://github.com/babel/babel
@babel/plugin-proposal-partial-application;babel;;https://github.com/babel/babel
@babel/plugin-proposal-pipeline-operator;babel;;https://github.com/babel/babel
@babel/plugin-proposal-private-methods;babel;;https://github.com/babel/babel
@babel/plugin-proposal-private-property-in-object;babel;;https://github.com/babel/babel
@babel/plugin-proposal-record-and-tuple;babel;;https://github.com/babel/babel
@babel/plugin-proposal-throw-expressions;babel;;https://github.com/babel/babel
@babel/plugin-proposal-unicode-property-regex;babel;;https://github.com/babel/babel
@babel/plugin-proposal-unicode-sets-regex;babel;;https://github.com/babel/babel
@babel/plugin-syntax-async-do-expressions;babel;;https://github.com/babel/babel
@babel/plugin-syntax-decimal;babel;;https://github.com/babel/babel
@babel/plugin-syntax-decorators;babel;;https://github.com/babel/babel
@babel/plugin-syntax-destructuring-private;babel;;https://github.com/babel/babel
@babel/plugin-syntax-do-expressions;babel;;https://github.com/babel/babel
@babel/plugin-syntax-export-default-from;babel;;https://github.com/babel/babel
@babel/plugin-syntax-flow;babel;;https://github.com/babel/babel
@babel/plugin-syntax-function-bind;babel;;https://github.com/babel/babel
@babel/plugin-syntax-function-sent;babel;;https://github.com/babel/babel
@babel/plugin-syntax-import-assertions;babel;;https://github.com/babel/babel
@babel/plugin-syntax-jsx;babel;;https://github.com/babel/babel
@babel/plugin-syntax-module-blocks;babel;;https://github.com/babel/babel
@babel/plugin-syntax-partial-application;babel;;https://github.com/babel/babel
@babel/plugin-syntax-pipeline-operator;babel;;https://github.com/babel/babel
@babel/plugin-syntax-record-and-tuple;babel;;https://github.com/babel/babel
@babel/plugin-syntax-throw-expressions;babel;;https://github.com/babel/babel
@babel/plugin-syntax-typescript;babel;;https://github.com/babel/babel
@babel/plugin-syntax-unicode-sets-regex;babel;;https://github.com/babel/babel
@babel/plugin-transform-arrow-functions;babel;;https://github.com/babel/babel
@babel/plugin-transform-async-to-generator;babel;;https://github.com/babel/babel
@babel/plugin-transform-block-scoped-functions;babel;;https://github.com/babel/babel
@babel/plugin-transform-block-scoping;babel;;https://github.com/babel/babel
@babel/plugin-transform-classes;babel;;https://github.com/babel/babel
@babel/plugin-transform-computed-properties;babel;;https://github.com/babel/babel
@babel/plugin-transform-destructuring;babel;;https://github.com/babel/babel
@babel/plugin-transform-dotall-regex;babel;;https://github.com/babel/babel
@babel/plugin-transform-duplicate-keys;babel;;https://github.com/babel/babel
@babel/plugin-transform-exponentiation-operator;babel;;https://github.com/babel/babel
@babel/plugin-transform-flow-comments;babel;;https://github.com/babel/babel
@babel/plugin-transform-flow-strip-types;babel;;https://github.com/babel/babel
@babel/plugin-transform-for-of;babel;;https://github.com/babel/babel
@babel/plugin-transform-function-name;babel;;https://github.com/babel/babel
@babel/plugin-transform-instanceof;babel;;https://github.com/babel/babel
@babel/plugin-transform-jscript;babel;;https://github.com/babel/babel
@babel/plugin-transform-literals;babel;;https://github.com/babel/babel
@babel/plugin-transform-member-expression-literals;babel;;https://github.com/babel/babel
@babel/plugin-transform-modules-amd;babel;;https://github.com/babel/babel
@babel/plugin-transform-modules-commonjs;babel;;https://github.com/babel/babel
@babel/plugin-transform-modules-systemjs;babel;;https://github.com/babel/babel
@babel/plugin-transform-modules-umd;babel;;https://github.com/babel/babel
@babel/plugin-transform-named-capturing-groups-regex;babel;;https://github.com/babel/babel
@babel/plugin-transform-new-target;babel;;https://github.com/babel/babel
@babel/plugin-transform-object-assign;babel;;https://github.com/babel/babel
@babel/plugin-transform-object-set-prototype-of-to-assign;babel;;https://github.com/babel/babel
@babel/plugin-transform-object-super;babel;;https://github.com/babel/babel
@babel/plugin-transform-parameters;babel;;https://github.com/babel/babel
@babel/plugin-transform-property-literals;babel;;https://github.com/babel/babel
@babel/plugin-transform-property-mutators;babel;;https://github.com/babel/babel
@babel/plugin-transform-proto-to-assign;babel;;https://github.com/babel/babel
@babel/plugin-transform-react-constant-elements;babel;;https://github.com/babel/babel
@babel/plugin-transform-react-display-name;babel;;https://github.com/babel/babel
@babel/plugin-transform-react-inline-elements;babel;;https://github.com/babel/babel
@babel/plugin-transform-react-jsx;babel;;https://github.com/babel/babel
@babel/plugin-transform-react-jsx-compat;babel;;https://github.com/babel/babel
@babel/plugin-transform-react-jsx-development;babel;;https://github.com/babel/babel
@babel/plugin-transform-react-jsx-self;babel;;https://github.com/babel/babel
@babel/plugin-transform-react-jsx-source;babel;;https://github.com/babel/babel
@babel/plugin-transform-react-pure-annotations;babel;;https://github.com/babel/babel
@babel/plugin-transform-regenerator;babel;;https://github.com/babel/babel
@babel/plugin-transform-reserved-words;babel;;https://github.com/babel/babel
@babel/plugin-transform-runtime;babel;;https://github.com/babel/babel
@babel/plugin-transform-shorthand-properties;babel;;https://github.com/babel/babel
@babel/plugin-transform-spread;babel;;https://github.com/babel/babel
@babel/plugin-transform-sticky-regex;babel;;https://github.com/babel/babel
@babel/plugin-transform-strict-mode;babel;;https://github.com/babel/babel
@babel/plugin-transform-template-literals;babel;;https://github.com/babel/babel
@babel/plugin-transform-typeof-symbol;babel;;https://github.com/babel/babel
@babel/plugin-transform-typescript;babel;;https://github.com/babel/babel
@babel/plugin-transform-unicode-escapes;babel;;https://github.com/babel/babel
@babel/plugin-transform-unicode-regex;babel;;https://github.com/babel/babel
@babel/preset-env;babel;;https://github.com/babel/babel
@babel/preset-flow;babel;;https://github.com/babel/babel
@babel/preset-react;babel;;https://github.com/babel/babel
@babel/preset-typescript;babel;;https://github.com/babel/babel
@babel/register;babel;;https://github.com/babel/babel
@babel/runtime;babel;;https://github.com/babel/babel
@babel/runtime-corejs2;babel;;https://github.com/babel/babel
@babel/runtime-corejs3;babel;;https://github.com/babel/babel
@babel/standalone;babel;;https://github.com/babel/babel
@babel/template;babel;;https://github.com/babel/babel
@babel/traverse;babel;;https://github.com/babel/babel
@babel/types;babel;;https://github.com/babel/babel
@babel/plugin-transform-arrow-functions;babel;;https://github.com/babel/babel
@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression;babel;;https://github.com/babel/babel
@babel/plugin-transform-shorthand-properties;babel;;https://github.com/babel/babel
